Induction	ShortI	Treatment	Amylin	C-Peptide	Ghrelin	GIP total	MCP-1	PP	PYY
Uninduced	U	LDM4	0	0	0	0	311.22	14.12	0
Uninduced	U	LDM4	0	0	19.18	0	356.17	15.18	0
Uninduced	U	LDM4	0	0	17.62	1.25	323.79	19.13	0
Induced	I	LDM4	0	0	32.62	82.31	489.32	33.46	0
Induced	I	LDM4	0	0	11.05	59.06	329.71	9.63	0
Induced	I	LDM4	0	0	23.46	95	398.46	15.33	0
Uninduced	U	6475	0	0	26.56	0	453.16	16.44	0
Uninduced	U	6475	0	0	10.17	0	311.22	7.89	0
Uninduced	U	6475	0	0	23.46	0	356.17	13.64	0
Induced	I	6475	17.11	55.47	40.8	289.39	38.67	10.79	67.75
Induced	I	6475	19.25	24.03	35.62	387.76	15.89	5.57	73.65
Induced	I	6475	15.97	39.27	46.32	661.49	16.44	7.89	82.61
Induced	I	17938	15.08	17.86	30.6	350.99	20.54	15.89	97.27
Induced	I	17938	16.25	18.91	28.03	611.36	45.48	11.36	82.61
Induced	I	17938	24.22	48.02	46.32	887.34	30.67	19.19	103.68
