LDM4_Mean	LR17938_Mean	LR6475_Mean	LR6475_LDM4	LR17938_LDM4	LR17938_LR6475	LR6475_LDM4_pval	LR6475_LDM4_qval	LR17938_LDM4_pval	LR17938_LDM4_qval	LR17938_LR6475_pval	LR17938_LR6475_qval	SuperPathway	SubPathway	ChemicalID	CAS	BiochemicalName
0.664722901	0.829927352	1.532828973	2.305966849	1.248531307	0.541435063	0.00108988	0.003100729	0.002117159	0.005282619	0.011372577	0.021385992	Lipid	Mevalonate Metabolism	30	96949-03-0	mevalonate
0.788944652	0.866668671	1.708336796	2.165344287	1.098516441	0.507317218	0.000410602	0.001388483	0.006670592	0.013678261	0.001256621	0.003447882	Nucleotide	Purine Metabolism, Adenine containing	72	37063-35-7	adenosine-2',3'-cyclic monophosphate
0.911910849	1.162135906	0.981473847	1.076282675	1.274396404	1.184072209	0.496893683	0.562562452	0.078873183	0.114522079	0.239102377	0.306225802	Energy	TCA Cycle	93	305-72-6;328-50-7;22202-68-2	alpha-ketoglutarate
0.316432853	0.908898011	1.809181246	5.717425451	2.872325054	0.502380849	8.54E-07	5.96E-06	7.80E-05	0.000321426	0.000456401	0.001510237	Lipid	Mevalonate Metabolism	112	503-49-1	3-hydroxy-3-methylglutarate
0.2568101	2.036857357	1.225749125	4.772978654	7.931375592	1.661724505	0.00077326	0.00234718	0.128920125	0.175924631	0.527223265	0.591687246	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	132	80731-10-8	3-phosphoglycerate
0.647820562	0.647820562	0.850047167	1.312164537	1	0.762099548	0.053216482	0.080767535	0.340893132	0.410669695	0.053216482	0.080767535	Nucleotide	Pyrimidine Metabolism, Thymine containing	158	696-04-8	5,6-dihydrothymine
0.189677149	1.17921825	0.653022856	3.442812481	6.216975823	1.805784038	0.0067326	0.013699294	1.42E-07	1.18E-06	0.045854317	0.071421572	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	171	68-94-0	hypoxanthine
2.013697377	0.9684397	0.026598905	0.013208988	0.480926137	36.40900683	1.21E-12	4.44E-11	1.91E-06	1.19E-05	5.14E-11	9.90E-10	Nucleotide	Purine Metabolism, Guanine containing	172	73-40-5	guanine
1.025886511	1.152554471	0.928898297	0.905459119	1.123471708	1.240775739	0.590058324	0.65552589	0.341769972	0.411083695	0.03543791	0.057424657	Amino Acid	Tryptophan Metabolism	186	1022-31-7	N-formylkynurenine
0.619836578	0.833496383	1.495874535	2.413336981	1.344703447	0.557196719	5.78E-05	0.000242083	0.003932943	0.008470109	0.003627471	0.00790051	Amino Acid	Lysine Metabolism	189	23284-33-5	N6,N6,N6-trimethyllysine
