LDM4_Mean	LR17938_Mean	LR6475_Mean	LR6475_LDM4	LR17938_LDM4	LR17938_LR6475	LR6475_LDM4_pval	LR6475_LDM4_qval	LR17938_LDM4_pval	LR17938_LDM4_qval	LR17938_LR6475_pval	LR17938_LR6475_qval	ChemicalID	SuperPathway	SubPathway	ChemicalID	CAS	BiochemicalName	PlotOrder	Plot
0.071559346	1.031145133	1.585463173	22.1559203	14.40964998	0.650374698	4.63E-11	9.40E-10	9.96E-11	1.79E-09	4.85E-05	0.000208815	1110	Amino Acid	Alanine and Aspartate Metabolism	1110	97-69-8	N-acetylalanine	1	N
0.625826935	0.797274509	1.200380419	1.918070879	1.273953651	0.664184867	3.48E-08	3.20E-07	0.009971445	0.019124339	0.000568825	0.00178278	100001257	Amino Acid	Alanine and Aspartate Metabolism	100001257	4033-40-3	N-acetylasparagine	2	N
0.753245619	0.973689383	0.753245619	1	1.29265854	1.29265854	0.340893132	0.410669695	0.013975631	0.025234688	0.013975631	0.025234688	100000115	Xenobiotics	Bacterial/Fungal	100000115	1476-39-7;2577-62-0	diaminopimelate	3	Y
0.651216692	0.845366953	1.572996092	2.415472625	1.298134651	0.5374247	8.59E-05	0.000350236	0.00440888	0.009442351	0.002760517	0.006569008	100000014	Xenobiotics	Benzoate Metabolism	100000014	495-69-2	hippurate	4	Y
0.715115105	0.845658045	1.478219775	2.06710747	1.182548152	0.572078699	3.36E-05	0.000150429	0.00284422	0.006665329	0.000530545	0.001697304	100001315	Xenobiotics	Benzoate Metabolism	100001315	3233-57-7	p-cresol sulfate	5	Y
0.756160345	0.866287168	1.379282514	1.824060894	1.145639511	0.628070869	0.000178151	0.000660356	0.008783871	0.01701599	0.002066445	0.005172822	100000007	Lipid	Carnitine Metabolism	100000007	461-05-2	carnitine	6	Y
0.45950429	0.608039272	1.238935586	2.696243785	1.32325048	0.490775533	9.72E-07	6.69E-06	0.056476839	0.085212608	0.000574897	0.001794517	100001662	Lipid	Carnitine Metabolism	100001662	6249-56-5	deoxycarnitine	7	Y
0.070215786	1.01246296	4.628661627	65.92052676	14.4193067	0.218737735	7.64E-10	1.09E-08	4.62E-09	5.48E-08	3.32E-06	1.94E-05	100001175	Xenobiotics	Chemical	100001175	504-63-2	"1,3-propanediol"	8	Y
0.803892158	0.860840146	1.430013033	1.778861777	1.070840333	0.60198063	0.017502336	0.030121208	0.483480476	0.550610704	0.026354735	0.043792028	100001635	Xenobiotics	Chemical	100001635	96702-03-3	ectoine	9	N
0.002921683	0.93328527	1.785496107	611.1189786	319.4340994	0.522703615	4.87E-14	3.41E-12	1.69E-19	1.30E-16	0.000248754	0.000883821	275	Amino Acid	Creatine Metabolism	275	60-27-5	creatinine	10	Y
0.751333367	0.837671871	1.650915346	2.197314025	1.114913709	0.50739844	0.000155981	0.00058664	0.010887305	0.020523502	0.00065069	0.001990802	1221	Amino Acid	Creatine Metabolism	1221	57-00-1	creatine	11	Y
0.44316344	0.71352101	1.490730613	3.363839338	1.610062893	0.478638464	5.40E-07	3.93E-06	0.00458966	0.009802293	0.000914083	0.002710608	100000487	Peptide	Dipeptide	100000487	1963-21-9	glycylvaline	12	N
0.698010415	0.878189856	1.681359213	2.408788145	1.258132883	0.52230948	0.000207924	0.000756175	0.001181314	0.00329904	0.002938751	0.006770933	100001925	Peptide	Dipeptide	100001925	2873-36-1	cyclo(leu-pro)	13	N
0.698816196	0.85061406	1.466602387	2.098695474	1.217221446	0.579989551	6.29E-05	0.000262189	0.002941975	0.006770933	0.001374727	0.003667524	100002745	Peptide	Dipeptide	100002745	53109-32-3	cyclo(his-pro)	14	N
0.536315617	0.830372233	1.320683741	2.462512184	1.548290236	0.628744193	3.22E-05	0.000145895	0.002057779	0.005167909	0.017058209	0.029488518	100020993	Peptide	Dipeptide	100020993		"cyclo(his-pro) (D,L)*"	15	N
0.387836332	0.387836332	0.992553884	2.559208103	1	0.390745871	0.002928953	0.006770933	0.340893132	0.410669695	0.002928953	0.006770933	393	Carbohydrate	Disaccharides and Oligosaccharides	393	5965-66-2	lactose	16	Y
0.461917075	0.610522655	1.606269459	3.477397881	1.321714843	0.380087321	1.11E-05	5.69E-05	0.081464093	0.117619505	0.000565375	0.0017792	915	Carbohydrate	Disaccharides and Oligosaccharides	915	6138-23-4	trehalose	17	Y
0.843549676	1.64003511	0.841939221	0.99809086	1.944206912	1.947925775	0.841604839	0.868817773	0.003677216	0.007986292	0.007616946	0.015058116	418	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	418	516-05-2	methylmalonate (MMA)	18	N
0.078257498	0.969602349	1.958430551	25.02546861	12.38989718	0.495091516	1.38E-09	1.78E-08	8.57E-11	1.61E-09	0.00060918	0.001893743	100002284	Lipid	"Fatty Acid, Dihydroxy"	100002284	5057-93-2	"2S,3R-dihydroxybutyrate"	19	N
0.646091101	0.88680144	1.826715001	2.82733348	1.372564084	0.485462395	0.000327445	0.001141545	0.057569995	0.086692317	0.010675913	0.020223903	100000442	Xenobiotics	Food Component/Plant	100000442	77-95-2	quinate	20	N
0.543099757	0.574516933	1.676160224	3.086284247	1.057847893	0.342757766	0.000490154	0.001594551	0.162077117	0.216570983	0.000809469	0.002447454	100000799	Xenobiotics	Food Component/Plant	100000799	486-84-0	harmane	21	N
0.767861285	0.773036998	1.208715109	1.574132115	1.006740427	0.639552689	0.006088493	0.012687103	0.340893132	0.410669695	0.006734154	0.013699294	100001218	Xenobiotics	Food Component/Plant	100001218	552-66-9	daidzin (daidzein 7-O-glucoside)	22	N
0.610823404	0.839393897	1.569805248	2.569982155	1.374200614	0.534712123	1.00E-05	5.19E-05	0.00155014	0.004065164	0.00102594	0.002956508	100004321	Xenobiotics	Food Component/Plant	100004321		"2,8-quinolinediol sulfate"	23	N
0.858581905	1.047515994	1.339116586	1.559684147	1.220053659	0.782244059	1.34E-07	1.12E-06	0.003128183	0.006970605	0.000613515	0.001893743	878	Carbohydrate	"Fructose, Mannose and Galactose Metabolism"	878	57-48-7	fructose	24	N
0.724068936	0.85470912	1.700521111	2.348562446	1.180425064	0.502616001	0.000433579	0.001440901	0.013487893	0.024526334	0.002998663	0.006840145	1102	Peptide	Gamma-glutamyl Amino Acid	1102	7432-23-7	gamma-glutamyltyrosine	25	N
0.529858832	1.645976967	1.063508826	2.007155043	3.106444337	1.547685291	0.000352154	0.001201375	2.81E-07	2.21E-06	0.007923331	0.015506316	1268	Peptide	Gamma-glutamyl Amino Acid	1268	2566-39-4	gamma-glutamylleucine	26	N
0.775617153	0.837610082	1.353823545	1.745479118	1.079927228	0.618699598	0.00023651	0.000848137	0.011712108	0.021917561	0.000931325	0.002740655	100000491	Peptide	Gamma-glutamyl Amino Acid	100000491	7432-24-8	gamma-glutamylphenylalanine	27	N
0.570682301	0.949722409	1.491091207	2.612821886	1.664187599	0.636931131	6.96E-06	3.73E-05	0.001925716	0.00488397	0.000135649	0.000528208	100001313	Peptide	Gamma-glutamyl Amino Acid	100001313	17663-87-5	gamma-glutamylmethionine	28	N
0.529874571	4.871293414	1.036128803	1.955422775	9.193295325	4.701436151	2.07E-05	9.86E-05	2.77E-11	6.09E-10	2.81E-08	2.68E-07	100001485	Peptide	Gamma-glutamyl Amino Acid	100001485		gamma-glutamylisoleucine*	29	N
0.408300246	1.24883298	0.570528745	1.397326477	3.058614318	2.188904575	0.015435216	0.027298736	9.26E-11	1.70E-09	2.90E-05	0.000133855	563	Amino Acid	Glutamate Metabolism	563	56-85-9	glutamine	30	Y
0.596633527	0.858999683	1.41658081	2.374289653	1.439744238	0.606389468	0.000136435	0.0005286	0.002389172	0.005810888	0.015387786	0.027298736	100010911	Amino Acid	Glutamate Metabolism	100010911		butyrylglutamine/isobutyrylglutamine	31	Y
0.09523642	0.988245682	1.821206573	19.12300545	10.37676222	0.542632393	1.71E-08	1.70E-07	1.00E-08	1.07E-07	0.001412935	0.003743549	1021	Amino Acid	Glutathione Metabolism	1021	98-79-3	5-oxoproline	32	N
