CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM
30	305	39583	146992	Lipid	Mevalonate Metabolism	3196	NAMED	KJTLQQUUPVSXIM-UHFFFAOYSA-N	CC(CCO)(CC(O)=O)O	mevalonate	mevalonate	96949-03-0	388367	HMDB0000227	C02104	449	Polar
72	305	37467	147220	Nucleotide	Purine Metabolism, Adenine containing	4162	NAMED	KMYWVDDIPVNLME-UHFFFAOYSA-N	NC1=NC=NC2=C1N=CN2C3OC(C4OP(O)(OC34)=O)CO	adenosine-2',3'-cyclic monophosphate	adenosine-2',3'-cyclic monophosphate	37063-35-7	1947	HMDB0011616	C02353	2024	Polar
93	305	528	146398	Energy	TCA Cycle	1462	NAMED	KPGXRSRHYNQIFN-UHFFFAOYSA-N	O=C(C(O)=O)CCC(O)=O	alpha-ketoglutarate	alpha-ketoglutarate	328-50-7,22202-68-2,305-72-6	50	HMDB0000208	C00026	51	Polar
112	305	531	146400	Lipid	Mevalonate Metabolism	3194	NAMED	NPOAOTPXWNWTSH-UHFFFAOYSA-N	CC(CC(O)=O)(CC(O)=O)O	3-hydroxy-3-methylglutarate	3-hydroxy-3-methylglutarate	503-49-1	4573695	HMDB0000355	C03761	1662,5459993	Polar
132	305	1414	146436	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1253	NAMED	OSJPPGNTCRNQQC-UHFFFAOYSA-N	OC(C(O)=O)COP(O)(O)=O	3-phosphoglycerate	3-phosphoglycerate	80731-10-8	10669764	HMDB0000807	C00597	724	Polar
158	209	1418	123205	Nucleotide	Pyrimidine Metabolism, Thymine containing	4299	NAMED	NBAKTGXDIBVZOO-UHFFFAOYSA-N	O=C(NCC1C)NC1=O	5,6-dihydrothymine	5,6-dihydrothymine	696-04-8	84456	HMDB0000079	C00906	93556	Neg
171	209	3127	124615	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	4139	NAMED	FDGQSTZJBFJUBT-UHFFFAOYSA-N	O=C1C(N=CN2)=C2N=CN1	hypoxanthine	hypoxanthine	68-94-0	768	HMDB0000157	C00262	790,135398638	Neg
172	400	32352	155912	Nucleotide	Purine Metabolism, Guanine containing	4202	NAMED	UYTPUPDQBNUYGX-UHFFFAOYSA-N	NC(N1)=NC2=C(NC=N2)C1=O	guanine	guanine	73-40-5	744	HMDB0000132	C00242	135398634	Pos Early
186	209	64334	237350	Amino Acid	Tryptophan Metabolism	271	NAMED	BYHJHXPTQMMKCA-UHFFFAOYSA-N	NC(C(O)=O)CC(C1=CC=CC=C1NC=O)=O	N-formylkynurenine	N-formylkynurenine	1022-31-7	886	HMDB01200	C15605,C02406,C02700	910	Neg
189	400	1498	155380	Amino Acid	Lysine Metabolism	118	NAMED	MXNRLFUSFKVQSK-UHFFFAOYSA-N	C[N+](C)(CCCCC(C([O-])=O)N)C	N6,N6,N6-trimethyllysine	N6,N6,N6-trimethyllysine	23284-33-5	140379	HMDB0001325	C03793	440120	Pos Early
192	400	37496	156406	Amino Acid	Polyamine Metabolism	546	NAMED	KLZGKIDSEJWEDW-UHFFFAOYSA-N	CC(NCCCCN)=O	N-acetylputrescine	N-acetylputrescine	18233-70-0	109095	HMDB0002064	C02714	122356	Pos Early
194	209	2829	124831	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	443	NAMED	PYUSHNKNPOHWEZ-UHFFFAOYSA-N	CSCCC(C(O)=O)NC=O	N-formylmethionine	N-formylmethionine	4289-98-9	388809	HMDB0001015	C03145	439750	Neg
