EnsemblID	Genename	Gene	UpperGroup	MiddleGroup	FinalGroup	Subtype	Cluster
ENSG00000148600	Cadherin-related family member 1;CDHR1	CDHR1	Environmental response/Signaling	Cell adhesion	Cadherin	Membrane-bound	1
ENSG00000150471	Adhesion G protein-coupled receptor L3;ADGRL3	ADGRL3	Environmental response/Signaling	Cell adhesion	Cadherin	Receptor	2
ENSG00000177839	Protocadherin beta-9;PCDHB9	PCDHB9	Environmental response/Signaling	Cell adhesion	Cadherin	Membrane-bound	1
ENSG00000261934	Protocadherin gamma-A9;PCDHGA9	PCDHGA9	Environmental response/Signaling	Cell adhesion	Cadherin	Membrane-bound	2
ENSG00000090339	Intercellular adhesion molecule 1;ICAM1	ICAM1	Environmental response/Signaling	Cell adhesion	Cell adhesion	Membrane-bound	7
ENSG00000144820	Adhesion G-protein coupled receptor G7;ADGRG7	ADGRG7	Environmental response/Signaling	Cell adhesion	Cell adhesion	Receptor	7
ENSG00000253305	Protocadherin gamma-B6;PCDHGB6	PCDHGB6	Environmental response/Signaling	Cell adhesion	Cell adhesion	Membrane-bound	2
ENSG00000006837	Cyclin-dependent kinase-like 3;CDKL3	CDKL3	Environmental response/Signaling	Cell fate	Cell fate	Intracellular	1
ENSG00000008086	Cyclin-dependent kinase-like 5;CDKL5	CDKL5	Environmental response/Signaling	Cell fate	Cell fate	Intracellular	8
ENSG00000008128	Cyclin-dependent kinase 11A;CDK11A	CDK11A	Environmental response/Signaling	Cell fate	Cell fate	Intracellular	4
ENSG00000057593	Coagulation factor VII;F7	F7	Environmental response/Signaling	Cell fate	Cell fate	Secreted	3
ENSG00000075223	Semaphorin-3C;SEMA3C	SEMA3C	Environmental response/Signaling	Cell fate	Cell fate	Secreted	7
ENSG00000104415	WNT1-inducible-signaling pathway protein 1;WISP1	WISP1	Environmental response/Signaling	Cell fate	Cell fate	Secreted	5
ENSG00000105672	ETS translocation variant 2;ETV2	ETV2	Environmental response/Signaling	Cell fate	Cell fate	Intracellular	5
ENSG00000107623	Growth/differentiation factor 10;GDF10	GDF10	Environmental response/Signaling	Cell fate	Cell fate	Secreted	2
ENSG00000108465	CDK5 regulatory subunit-associated protein 3;CDK5RAP3	CDK5RAP3	Environmental response/Signaling	Cell fate	Cell fate	Intracellular	5
ENSG00000118523	Connective tissue growth factor;CTGF	CTGF	Environmental response/Signaling	Cell fate	Cell fate	Secreted	6
ENSG00000123999	Inhibin alpha chain;INHA	INHA	Environmental response/Signaling	Cell fate	Cell fate	Secreted	3
ENSG00000135373	ETS homologous factor;EHF	EHF	Environmental response/Signaling	Cell fate	Cell fate	Secreted	2
ENSG00000136457	Chondroadherin;CHAD	CHAD	Environmental response/Signaling	Cell fate	Cell fate	Secreted	5
ENSG00000138028	Cell growth regulator with EF hand domain protein 1;CGREF1	CGREF1	Environmental response/Signaling	Cell fate	Cell fate	Secreted	1
ENSG00000142871	Protein CYR61;CYR61	CYR61	Environmental response/Signaling	Cell fate	Cell fate	Secreted	6
ENSG00000146648	Epidermal growth factor receptor;EGFR	EGFR	Environmental response/Signaling	Cell fate	Cell fate	Receptor	7
ENSG00000151136	Ankyrin repeat and BTB/POZ domain-containing protein BTBD11;BTBD11	BTBD11	Environmental response/Signaling	Cell fate	Cell fate	Membrane-bound	1
ENSG00000159307	Signal peptide, CUB and EGF-like domain-containing protein 1;SCUBE1	SCUBE1	Environmental response/Signaling	Cell fate	Cell fate	Secreted	1
ENSG00000162344	Fibroblast growth factor 19;FGF19	FGF19	Environmental response/Signaling	Cell fate	Cell fate	Secreted	8
ENSG00000163251	Frizzled-5;FZD5	FZD5	Environmental response/Signaling	Cell fate	Cell fate	Receptor	7
ENSG00000166396	Serpin B7;SERPINB7	SERPINB7	Environmental response/Signaling	Cell fate	Cell fate	Intracellular	7
ENSG00000169436	Collagen alpha-1(XXII) chain;COL22A1	COL22A1	Environmental response/Signaling	Cell fate	Cell fate	Secreted	1
ENSG00000171119	Neurturin;NRTN	NRTN	Environmental response/Signaling	Cell fate	Cell fate	Secreted	4
ENSG00000186907	Reticulon-4 receptor-like 2;RTN4RL2	RTN4RL2	Environmental response/Signaling	Cell fate	Cell fate	Receptor	1
ENSG00000188064	Protein Wnt-7b;WNT7B	WNT7B	Environmental response/Signaling	Cell fate	Cell fate	Secreted	8
ENSG00000205213	Leucine-rich repeat-containing G-protein coupled receptor 4;LGR4	LGR4	Environmental response/Signaling	Cell fate	Cell fate	Receptor	7
ENSG00000255823	Humanin-like 8;MTRNR2L8	MTRNR2L8	Environmental response/Signaling	Cell fate	Cell fate	Intracellular	4
ENSG00000269028	Humanin-like 12;MTRNR2L12	MTRNR2L12	Environmental response/Signaling	Cell fate	Cell fate	Intracellular	4
ENSG00000109321	Amphiregulin;AREG	AREG	Environmental response/Signaling	Cell fate, Immune response	Cell fate, Immune response	Membrane-bound	6
ENSG00000213240	Notch 2 N-terminal like;NOTCH2NL	NOTCH2NL	Environmental response/Signaling	Cell fate, Immune response	Immune response	Secreted	8
ENSG00000080293	Secretin receptor;SCTR	SCTR	Environmental response/Signaling	Hormone secretion	Hormone secretion	Receptor	5
ENSG00000096395	Promotilin;MLN	MLN	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1
ENSG00000101188	Neurotensin receptor type 1;NTSR1	NTSR1	Environmental response/Signaling	Hormone secretion	Hormone secretion	Receptor	3
ENSG00000101200	Vasopressin-neurophysin 2-copeptin;AVP	AVP	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	5
ENSG00000101405	Oxytocin-neurophysin 1;OXT	OXT	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	5
ENSG00000104826	Lutropin subunit beta;LHB	LHB	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	5
ENSG00000122585	Pro-neuropeptide Y;NPY	NPY	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1
ENSG00000133636	Neurotensin/neuromedin N;NTS	NTS	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	5
ENSG00000135744	Angiotensinogen;AGT	AGT	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1
ENSG00000137819	Membrane progestin receptor gamma;PAQR5	PAQR5	Environmental response/Signaling	Hormone secretion	Hormone secretion	Receptor	6
ENSG00000157005	Somatostatin;SST	SST	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1
ENSG00000159224	Gastric inhibitory polypeptide;GIP	GIP	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1
ENSG00000166863	Tachykinin-3;TAC3	TAC3	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	3
ENSG00000169752	Pro-neuregulin-4, membrane-bound isoform;NRG4	NRG4	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	3
ENSG00000169860	P2Y purinoceptor 1;P2RY1	P2RY1	Environmental response/Signaling	Hormone secretion	Hormone secretion	Receptor	7
ENSG00000183971	Neuropeptide W;NPW	NPW	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1
ENSG00000184163	Adipolin;C1QTNF12	C1QTNF12	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	5
ENSG00000184502	Gastrin;GAST	GAST	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1
ENSG00000184845	D(1A) dopamine receptor;DRD1	DRD1	Environmental response/Signaling	Hormone secretion	Hormone secretion	Receptor	2
ENSG00000187094	Cholecystokinin;CCK	CCK	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1
ENSG00000077092	Retinoic acid receptor beta;RARB	RARB	Environmental response/Signaling	Hormone secretion, Immune response	Hormone secretion, Immune response	Receptor	7
ENSG00000240771	Rho guanine nucleotide exchange factor 25;ARHGEF25	ARHGEF25	Environmental response/Signaling	Hormone secretion, Immune response	Hormone secretion, Immune response	Intracellular	1
ENSG00000117983	Mucin-5B;MUC5B	MUC5B	Other	Mucus	Mucus	Secreted	8
ENSG00000169876	Mucin-17;MUC17	MUC17	Other	Mucus	Mucus	Secreted	7
ENSG00000176928	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4;GCNT4	GCNT4	Other	Mucus	Mucus	Intracellular	7
ENSG00000184956	Mucin-6;MUC6	MUC6	Other	Mucus	Mucus	Secreted	2
ENSG00000198488	Acetylgalactosaminyl-O-glycosyl-glycoprotein beta-1,3-N-acetylglucosaminyltransferase;B3GNT6	B3GNT6	Other	Mucus	Mucus	Secreted	2
ENSG00000215182	Mucin-5AC;MUC5AC	MUC5AC	Other	Mucus	Mucus	Secreted	8
ENSG00000257594	Polypeptide N-acetylgalactosaminyltransferase 4;GALNT4	GALNT4	Other	Mucus	Mucus	Intracellular	7
ENSG00000010379	Sodium- and chloride-dependent GABA transporter 2;SLC6A13	SLC6A13	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Transporter	5
ENSG00000064651	Solute carrier family 12 member 2;SLC12A2	SLC12A2	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Transporter	2
ENSG00000075673	Potassium-transporting ATPase alpha chain 2;ATP12A	ATP12A	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Transporter	1
ENSG00000091138	Chloride anion exchanger;SLC26A3	SLC26A3	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Transporter	7
ENSG00000100191	Solute carrier family 5 member 4;SLC5A4	SLC5A4	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Transporter	7
ENSG00000114113	Retinol-binding protein 2;RBP2	RBP2	Other	Nutrient metabolism	Nutrient metabolism	Intracellular	5
ENSG00000118137	Apolipoprotein A-I;APOA1	APOA1	Other	Nutrient metabolism	Nutrient metabolism	Secreted	5
ENSG00000123384	Prolow-density lipoprotein receptor-related protein 1;LRP1	LRP1	Other	Nutrient metabolism	Nutrient metabolism	Receptor	7
ENSG00000137392	Colipase;CLPS	CLPS	Other	Nutrient metabolism	Nutrient metabolism	Secreted	1
ENSG00000139209	Sodium-coupled neutral amino acid transporter 4;SLC38A4	SLC38A4	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Transporter	2
ENSG00000142789	Chymotrypsin-like elastase family member 3A;CELA3A	CELA3A	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Secreted	1
ENSG00000142798	Basement membrane-specific heparan sulfate proteoglycan core protein;HSPG2	HSPG2	Other	Nutrient metabolism	Nutrient metabolism	Secreted	7
ENSG00000182747	Solute carrier family 35 member D3;SLC35D3	SLC35D3	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Transporter	1
ENSG00000188828	Glycine receptor subunit alpha-4;GLRA4	GLRA4	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Receptor	5
ENSG00000197506	Solute carrier family 28 member 3;SLC28A3	SLC28A3	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Transporter	1
ENSG00000198938	Cytochrome c oxidase subunit 3;MT-CO3	MT-CO3	Environmental response/Signaling	Nutrient metabolism	Nutrient metabolism	Mitochondrial membrane-bound	4
ENSG00000204444	Apolipoprotein M;APOM	APOM	Other	Nutrient metabolism	Nutrient metabolism	Secreted	3
ENSG00000016602	Calcium-activated chloride channel regulator 4;CLCA4	CLCA4	Environmental response/Signaling	Nutrient metabolism, Immune response	Nutrient metabolism, Immune response	Membrane-bound	6
ENSG00000106546	Aryl hydrocarbon receptor;AHR	AHR	Environmental response/Signaling	Nutrient metabolism, Immune response	Nutrient metabolism, Immune response	Intracellular	7
ENSG00000173930	Solute carrier organic anion transporter family member 4C1;SLCO4C1	SLCO4C1	Environmental response/Signaling	Nutrient metabolism, Immune response	Nutrient metabolism, Immune response	Transporter	2
ENSG00000128655	Dual 3',5'-cyclic-AMP and -GMP phosphodiesterase 11A;PDE11A	PDE11A	Environmental response/Signaling	Signaling	Molecular transduction	Secreted	7
ENSG00000129675	Rho guanine nucleotide exchange factor 6;ARHGEF6	ARHGEF6	Environmental response/Signaling	Signaling	Molecular transduction	Intracellular	7
ENSG00000167414	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8;GNG8	GNG8	Environmental response/Signaling	Signaling	Molecular transduction	Intracellular	1
ENSG00000054277	Opsin-3;OPN3	OPN3	Environmental response/Signaling	Signaling	Signaling	Receptor	7
ENSG00000067842	Plasma membrane calcium-transporting ATPase 3;ATP2B3	ATP2B3	Environmental response/Signaling	Signaling	Signaling	Transporter	1
ENSG00000099974	D-dopachrome decarboxylase-like protein;DDTL	DDTL	Environmental response/Signaling	Signaling	Signaling	Intracellular	3
ENSG00000105711	Sodium channel subunit beta-1;SCN1B	SCN1B	Environmental response/Signaling	Signaling	Signaling	Channel	1
ENSG00000105737	Glutamate receptor ionotropic, kainate 5;GRIK5	GRIK5	Environmental response/Signaling	Signaling	Signaling	Receptor	1
ENSG00000110900	Tetraspanin-11;TSPAN11	TSPAN11	Environmental response/Signaling	Signaling	Signaling	Membrane-bound	1
ENSG00000111452	Adhesion G-protein coupled receptor D1;ADGRD1	ADGRD1	Environmental response/Signaling	Signaling	Signaling	Receptor	1
ENSG00000112414	Adhesion G-protein coupled receptor G6;ADGRG6	ADGRG6	Environmental response/Signaling	Signaling	Signaling	Receptor	7
ENSG00000116962	Nidogen-1;NID1	NID1	Environmental response/Signaling	Signaling	Signaling	Membrane-bound	2
ENSG00000123700	Inward rectifier potassium channel 2;KCNJ2	KCNJ2	Environmental response/Signaling	Signaling	Signaling	Channel	2
ENSG00000129159	Potassium voltage-gated channel subfamily C member 1;KCNC1	KCNC1	Environmental response/Signaling	Signaling	Signaling	Channel	1
ENSG00000129951	Phospholipid phosphatase-related protein type 3;PLPPR3	PLPPR3	Environmental response/Signaling	Signaling	Signaling	Membrane-bound	4
ENSG00000133107	Short transient receptor potential channel 4;TRPC4	TRPC4	Environmental response/Signaling	Signaling	Signaling	Channel	1
ENSG00000135902	Acetylcholine receptor subunit delta;CHRND	CHRND	Environmental response/Signaling	Signaling	Signaling	Receptor	1
ENSG00000140839	C-type lectin domain family 18 member B;CLEC18B	CLEC18B	Environmental response/Signaling	Signaling	Signaling	Secreted	3
ENSG00000143603	Small conductance calcium-activated potassium channel protein 3;KCNN3	KCNN3	Environmental response/Signaling	Signaling	Signaling	Channel	1
ENSG00000148604	RPE-retinal G protein-coupled receptor;RGR	RGR	Environmental response/Signaling	Signaling	Signaling	Receptor	1
ENSG00000162105	SH3 and multiple ankyrin repeat domains protein 2;SHANK2	SHANK2	Environmental response/Signaling	Signaling	Signaling	Intracellular	8
ENSG00000163873	Glutamate receptor ionotropic, kainate 3;GRIK3	GRIK3	Environmental response/Signaling	Signaling	Signaling	Receptor	1
ENSG00000164038	Sodium/hydrogen exchanger 9B2;SLC9B2	SLC9B2	Environmental response/Signaling	Signaling	Signaling	Channel	2
