EnsemblID	Genename	Gene	UpperGroup	MiddleGroup	FinalGroup	Subtype	Cluster	U6475-ULDM4	I6475-ILDM4	I17938-ILDM4	I6475-I17938	I6475-U6475	ILDM-ULDM	KaryotypeBand	ChromosomeScaffoldName	GeneStart	GeneEnd	GeneGCcontent	TranscriptCount	GeneType	GeneDescription	GeneSymbol	GeneStrand	baseMean	U6475.ULDM4log2FoldChange	U6475.ULDM4lfcSE	U6475.ULDM4stat	U6475.ULDM4pvalue	U6475.ULDM4padj	I6475.ILDM4log2FoldChange	I6475.ILDM4lfcSE	I6475.ILDM4stat	I6475.ILDM4pvalue	I6475.ILDM4padj	I17938.ILDM4log2FoldChange	I17938.ILDM4lfcSE	I17938.ILDM4stat	I17938.ILDM4pvalue	I17938.ILDM4padj	I6475.I17938log2FoldChange	I6475.I17938lfcSE	I6475.I17938stat	I6475.I17938pvalue	I6475.I17938padj	I6475.U6475log2FoldChange	I6475.U6475lfcSE	I6475.U6475stat	I6475.U6475pvalue	I6475.U6475padj	ILDM4.ULDM4log2FoldChange	ILDM4.ULDM4lfcSE	ILDM4.ULDM4stat	ILDM4.ULDM4pvalue	ILDM4.ULDM4padj	GeTMM.ULDMA_1	GeTMM.ULDMA_2	GeTMM.ULDMA_3	GeTMM.ULDMB_1	GeTMM.ULDMB_2	GeTMM.ULDMB_3	GeTMM.U6475A_1	GeTMM.U6475A_2	GeTMM.U6475A_3	GeTMM.U6475B_1	GeTMM.U6475B_2	GeTMM.U6475B_3	GeTMM.ILDMA_1	GeTMM.ILDMA_2	GeTMM.ILDMA_3	GeTMM.ILDMB_1	GeTMM.ILDMB_2	GeTMM.ILDMB_3	GeTMM.I6475A_1	GeTMM.I6475A_2	GeTMM.I6475A_3	GeTMM.I6475B_1	GeTMM.I6475B_2	GeTMM.I6475B_3	GeTMM.I1793A_1	GeTMM.I1793A_2	GeTMM.I1793A_3	GeTMM.I1793B_1	GeTMM.I1793B_2	GeTMM.I1793B_3	rlog.ULDMA_1	rlog.ULDMA_2	rlog.ULDMA_3	rlog.ULDMB_1	rlog.ULDMB_2	rlog.ULDMB_3	rlog.U6475A_1	rlog.U6475A_2	rlog.U6475A_3	rlog.U6475B_1	rlog.U6475B_2	rlog.U6475B_3	rlog.ILDMA_1	rlog.ILDMA_2	rlog.ILDMA_3	rlog.ILDMB_1	rlog.ILDMB_2	rlog.ILDMB_3	rlog.I6475A_1	rlog.I6475A_2	rlog.I6475A_3	rlog.I6475B_1	rlog.I6475B_2	rlog.I6475B_3	rlog.I1793A_1	rlog.I1793A_2	rlog.I1793A_3	rlog.I1793B_1	rlog.I1793B_2	rlog.I1793B_3
ENSG00000178093.12	testis-specific serine kinase 6 [Source:HGNC Symbol;Acc:30410]	TSSK6	NA	NA	NA	NA	NA	0	0	0	-1	0	0	p13.11	19	19623227	19626838	59	4	protein_coding	testis-specific serine kinase 6 [Source:HGNC Symbol;Acc:30410]	TSSK6	-1	78.02472632	0.50336032	0.298809002	1.684555404	0.092074382	0.210641734	-0.489648568	0.301268359	-1.625290385	0.104100699	0.218062375	0.57800494	0.295226681	1.957834362	0.050249452	0.154907751	-1.067653508	0.299620999	-3.563346728	0.000366157	0.065425514	-0.848517748	0.302020423	-2.809471421	0.004962292	0.008013604	0.14449114	0.298055237	0.48477974	0.627832596	0.683561856	4.0241862	5.011531117	6.566334865	4.4076191	3.292756489	4.974945303	6.714671384	4.898228098	5.241856016	6.535178776	6.275147219	9.030494266	4.271516286	3.74062086	6.28836768	4.831733066	4.641469581	6.830224539	3.82896114	4.624673917	3.200151686	2.76722805	3.704819152	3.660370635	7.891324232	21.02258792	4.322002251	4.775186262	3.673292315	4.626508698	5.968171759	6.147616838	6.343287581	6.048818665	5.853204406	6.133513326	6.387820473	6.140346893	6.178640606	6.358410737	6.330940375	6.621180827	6.047971633	5.932664761	6.328286107	6.100533361	6.083509041	6.380993569	5.969497324	6.092995345	5.840934139	5.738877033	5.91914706	5.939907451	6.543482907	7.443175229	6.052947477	6.112049279	5.928916714	6.102510189
ENSG00000153006.10	SREK1-interacting protein 1 [Source:HGNC Symbol;Acc:26716]	SREK1IP1	NA	NA	NA	NA	NA	1	0	0	-1	0	0	q12.3	5	64013971	64064512	36.21	4	protein_coding	SREK1-interacting protein 1 [Source:HGNC Symbol;Acc:26716]	SREK1IP1	-1	845.8077571	1.111230422	0.318276116	3.491403743	0.00048049	0.005453947	-0.790337974	0.318114509	-2.484444913	0.012975358	0.046549552	0.371022947	0.317572936	1.168307827	0.242682619	0.425747857	-1.161360921	0.318067844	-3.651299376	0.000260917	0.06279577	-0.906353876	0.318247543	-2.847952472	0.00440015	0.007151639	0.995214519	0.318143158	3.128197148	0.001758822	0.003228778	1.961084123	1.629704208	2.686183468	3.11502247	3.642431611	3.476339704	4.140328083	2.850545833	3.251124572	6.942222855	6.790686132	11.78042973	4.885744065	3.765705343	7.132690633	5.061878074	4.40339072	6.592082339	2.048777243	3.232107083	2.936711378	3.103488621	3.915370926	3.205631246	5.228138178	14.41928332	4.357773267	6.009375872	4.18813996	4.440359948	8.858976596	8.731840146	9.133015185	9.273087539	9.422118217	9.366336192	9.55280058	9.211451077	9.31347858	10.03885468	10.02277292	10.57062707	9.715440854	9.443102231	10.0654339	9.700302488	9.585413217	9.970834623	8.936249088	9.317270201	9.239161417	9.275039575	9.469334248	9.327542402	9.8000797	10.83759137	9.601544732	9.890684848	9.555862084	9.62035364
ENSG00000263934.2	small nucleolar RNA, C/D box 3A [Source:HGNC Symbol;Acc:33189]	SNORD3A	NA	NA	NA	NA	NA	1	0	1	-1	0	0	p11.2	17	19091329	19092027	54.22	2	lincRNA	small nucleolar RNA, C/D box 3A [Source:HGNC Symbol;Acc:33189]	SNORD3A	1	151.2785177	1.553660011	0.317007433	4.901020764	9.53E-07	8.44E-05	0.597597225	0.313907479	1.90373682	0.056944469	0.140253131	1.95202011	0.310787766	6.280878221	3.37E-10	7.57E-07	-1.354422884	0.309381082	-4.377846489	1.20E-05	0.022574441	-0.449463336	0.312166733	-1.439818175	0.149918848	0.189015814	0.50659945	0.3187283	1.589439814	0.111961132	0.149719885	30.74677	34.14243	41.62919	16.02698	13.94644	7.41399	90.84979	53.01859	57.21886	47.64923	34.89165	81.86259	62.05229	28.34203	61.34299	13.84381	16.64911	21.4841	41.92672	72.94112	40.75124	26.88051	38.43021	50.02862	112.3676	330.0003	75.78603	76.85891	68.15973	77.62011	6.542706556	6.645423491	6.791176172	6.10252717	6.023401261	5.681286636	7.507576137	7.019917361	7.070781976	6.924576271	6.675105691	7.399003941	7.168145744	6.497960405	7.142280482	5.994136618	6.119774391	6.292740942	6.828804575	7.29641597	6.799953235	6.463333064	6.726503589	6.981594225	7.736626181	8.847250833	7.340568814	7.3387189	7.238278279	7.365694486
ENSG00000270066.2	small Cajal body-specific RNA 2 [Source:HGNC Symbol;Acc:32558]	SCARNA2	NA	NA	NA	NA	NA	1	0	0	-1	-1	0	p13.3	1	109642815	109643241	65.81	2	lincRNA	small Cajal body-specific RNA 2 [Source:HGNC Symbol;Acc:32558]	SCARNA2	1	82.6452303	1.759596023	0.357608267	4.920456785	8.63E-07	7.81E-05	-0.702145667	0.365527855	-1.920908783	0.054743208	0.136427496	0.79606852	0.357039346	2.229638077	0.02577148	0.100920943	-1.498214187	0.363183473	-4.125226771	3.70E-05	0.03160533	-2.183308644	0.361972816	-6.031692282	1.62E-09	5.21E-09	0.278433046	0.361213087	0.770827681	0.440809078	0.504715392	34.07932	24.55036	52.07989	16.4739	37.41642	21.71834	110.865	35.66776	51.16287	199.4275	47.97888	185.0128	35.85167	22.53518	61.21409	26.69121	50.20591	28.44594	16.56686	37.46032	15.00972	25.77346	17.0952	24.73398	43.44113	91.8006	48.2463	59.88728	48.60389	88.35295	5.892562382	5.687580708	6.219998964	5.445953434	5.982882121	5.605253385	6.89451177	5.955009008	6.215636674	7.441802506	6.179172776	7.364157712	5.966878272	5.631646427	6.370064976	5.72443048	6.197407985	5.778945446	5.472269425	5.986121578	5.404384009	5.721374278	5.462930668	5.710518396	6.127211957	6.760264595	6.186897519	6.346999286	6.186482494	6.695622105
ENSG00000263503.1		RP11-707O23.5	NA	NA	NA	NA	NA	1	0	0	-1	-1	1	q21.31	17	43678235	43679706	60.87	1	pseudogene		RP11-707O23.5	-1	207.6680419	2.698116379	0.435852543	6.190433952	6.00E-10	5.06E-07	-0.724873643	0.430830805	-1.682501888	0.092471559	0.20050725	0.760221099	0.428537155	1.773991101	0.076064622	0.201413551	-1.485094742	0.430220872	-3.4519356	0.000556581	0.076322726	-1.286184805	0.430829921	-2.985365556	0.002832396	0.004732155	2.136805217	0.435856099	4.902547475	9.46E-07	2.60E-06	6.996092	5.454847	8.839444	7.433646	8.278332	10.56191	42.55302	59.14783	50.6891	37.32274	30.7075	87.90077	40.58853	23.6487	43.49486	32.57747	23.02468	49.35982	20.36719	39.9006	45.95934	9.664619	12.09997	15.14695	80.13747	189.7363	79.75134	21.03788	14.58949	29.06445	6.201943201	6.076100322	6.35571859	6.256272323	6.330301427	6.481223953	7.639847059	7.947317522	7.783138524	7.511334332	7.342663778	8.328138766	7.60416792	7.100718646	7.651625294	7.359490131	7.075839238	7.754063504	7.001432285	7.571478662	7.709807477	6.42885778	6.573157868	6.769578462	8.276905805	9.181957531	8.244026141	7.009781555	6.725594928	7.299781661
ENSG00000260196.1		RP1-239B22.5	NA	NA	NA	NA	NA	0	1	0	1	0	-1	p15.1	11	17402196	17405078	48.42	1	antisense		RP1-239B22.5	1	49.60524613	0.806798733	0.296466918	2.721378618	0.006501026	0.033675181	1.115929133	0.31221309	3.574254793	0.000351227	0.00300557	-0.013915631	0.324827953	-0.042840004	0.965829074	0.982150701	1.129844764	0.314799619	3.589091905	0.000331832	0.063638686	-0.874797251	0.297849464	-2.93704491	0.003313561	0.005483592	-1.183927651	0.31088726	-3.808221831	0.00013997	0.000297991	6.833505145	5.724992528	6.318531454	2.801415164	3.663178558	3.973563968	10.41279046	10.12524835	11.30827885	7.265182198	6.42935807	4.295475349	3.244986166	4.221179706	2.546740036	0.969659058	1.48719546	1.302236127	8.412725113	7.888894852	10.04504572	1.67588629	1.012785499	3.093487365	4.222344382	0.653680343	6.011495867	0.813750541	1.064156214	1.146704439	5.754604554	5.639728121	5.701337441	5.150653102	5.325596607	5.369942075	6.132175009	6.10646234	6.183174412	5.826301148	5.735706217	5.434467454	5.26028466	5.414134897	5.10410913	4.628117707	4.809003834	4.752067892	5.954861278	5.894423182	6.101871684	4.876650029	4.661100547	5.231162357	5.45086219	4.571023401	5.687502201	4.58279864	4.671344555	4.708143258
ENSG00000228253.1	mitochondrially encoded ATP synthase 8 [Source:HGNC Symbol;Acc:7415]	MT-ATP8	NA	NA	NA	NA	NA	1	0	0	-1	-1	0		MT	8366	8572	39.61	1	protein_coding	mitochondrially encoded ATP synthase 8 [Source:HGNC Symbol;Acc:7415]	MT-ATP8	1	166.191989	1.370614036	0.325025137	4.216947805	2.48E-05	0.000726306	-0.805577009	0.328695796	-2.450828451	0.014252786	0.050104828	0.571456412	0.324594706	1.760522899	0.078319188	0.205693059	-1.377033422	0.327966771	-4.198697983	2.68E-05	0.03160533	-1.883815823	0.327531037	-5.751564306	8.84E-09	2.66E-08	0.292375222	0.326201029	0.896303802	0.370090529	0.43412619	154.657572	214.4226099	219.4325006	83.06804963	68.0254028	138.3548903	287.2600999	144.6985397	165.6148378	459.4843681	565.5481103	699.3381627	168.4528326	125.7846108	187.2806185	201.5355817	168.6627447	240.0477465	66.72097065	175.0721537	80.2720629	51.86881562	159.3933561	80.50028085	224.0261119	325.9288085	200.624839	349.0730363	190.9303092	279.018705	6.976070219	7.274121246	7.279217062	6.5216227	6.392948425	6.89957238	7.549028467	6.9551691	7.052207128	7.980833312	8.18928258	8.39161627	7.089522546	6.828427982	7.164665931	7.197774545	7.061955523	7.36461642	6.397033733	7.106672064	6.511249499	6.220497353	7.009220674	6.521350118	7.352136217	7.703909953	7.232068455	7.714271883	7.18198251	7.525878246
ENSG00000160838.9	leucine rich repeat containing 71 [Source:HGNC Symbol;Acc:26556]	LRRC71	NA	NA	NA	NA	NA	1	-1	0	-1	-1	0	q23.1	1	156890442	156902886	54.62	4	protein_coding	leucine rich repeat containing 71 [Source:HGNC Symbol;Acc:26556]	LRRC71	1	71.1061304	1.495027506	0.3955697	3.779428774	0.000157189	0.002548345	-1.340540749	0.401367099	-3.339936809	0.000837975	0.005848697	-0.037541405	0.392755955	-0.095584561	0.923850528	0.956681068	-1.302999344	0.402172292	-3.239903315	0.001195702	0.094432344	-2.0314151	0.400829982	-5.068021834	4.02E-07	1.04E-06	0.804153156	0.396115759	2.030096347	0.042346747	0.061643034	1.133316324	0.681046151	1.843940496	0.732712443	0.761572524	0.854762119	3.154441224	1.183002273	1.080275452	2.345229467	2.430107288	5.387194144	2.186854478	0.864169082	2.595894472	1.503296687	0.853103731	2.235944939	0.866171564	0.783229657	0.78203409	0.668626336	0.398856007	0.54690575	0.978145348	4.936654881	1.129860641	0.942564407	0.725063778	1.343849906	5.779202642	5.462318028	6.154261011	5.505399459	5.53568624	5.599625973	6.635337409	5.839035348	5.763615769	6.36975786	6.405003136	7.114118568	6.328426207	5.61008856	6.457195182	5.987597096	5.597345074	6.318157944	5.631956264	5.554627324	5.558353798	5.45404999	5.17158978	5.351230668	5.728879468	7.083351545	5.81047594	5.671296158	5.504036631	5.937706624
ENSG00000168298.4	histone cluster 1, H1e [Source:HGNC Symbol;Acc:4718]	HIST1H1E	NA	NA	NA	NA	NA	0	0	0	-1	0	1	p22.2	6	26156559	26157343	60.38	1	protein_coding	histone cluster 1, H1e [Source:HGNC Symbol;Acc:4718]	HIST1H1E	1	48.65240012	0.433437756	0.32952596	1.315337207	0.188396599	0.342658855	-0.627205651	0.316770965	-1.979997283	0.047703834	0.12344843	0.509413689	0.308257817	1.652557247	0.098421005	0.238580571	-1.13661934	0.315040794	-3.607848131	0.000308747	0.063638686	-0.025289206	0.326463648	-0.077464079	0.938254366	0.948499069	1.035354201	0.319971832	3.235766704	0.001213165	0.002272411	7.700157411	9.376313722	15.06851367	10.95228425	8.623994597	6.25429568	19.85649247	14.55108385	10.70384395	10.49791138	8.699354691	13.05567891	26.81454014	15.50275298	32.54908955	16.71015688	11.18387224	17.44245027	13.73185365	9.551487587	13.00275945	8.548443338	20.457622	9.268328739	18.82996547	72.50156046	14.16317385	22.7132807	18.8514735	19.81835233	5.024143164	5.146602508	5.430347479	5.235287784	5.104085196	4.933490638	5.646521017	5.427238355	5.225215	5.221193324	5.117710481	5.3539762	5.882351393	5.456127432	6.021678543	5.494299497	5.244291131	5.535828348	5.394619444	5.162216282	5.35458851	5.097333928	5.643174664	5.155829113	5.628734653	6.770638412	5.413000472	5.735153229	5.604903161	5.648744009
ENSG00000267934.1		CTB-176F20.3	NA	NA	NA	NA	NA	0	0	0	-1	0	0	p12	19	23506770	23511903	39.75	1	antisense		CTB-176F20.3	1	73.30235446	0.658905915	0.313726995	2.100252532	0.035706632	0.108995545	-0.988628523	0.311763011	-3.171089861	0.001518682	0.009179392	0.196633687	0.303763232	0.647325504	0.517421299	0.685338885	-1.18526221	0.31157946	-3.804044752	0.000142352	0.050871588	-0.790478882	0.315760726	-2.503411022	0.01230026	0.018746797	0.857055556	0.30971204	2.767265861	0.005652863	0.009611556	2.572774	3.823091	4.746259	1.167165	1.687844	2.071974	5.06017	3.609271	5.237253	3.277189	2.47028	3.826131	6.212125	2.921662	6.006517	4.146672	3.101931	4.25858	2.755766	2.67748	3.375233	1.986755	1.876809	1.23429	5.024388	18.06006	3.885307	2.239114	2.320006	2.803	5.802102868	6.095920132	6.247464699	5.415667138	5.582318823	5.683274384	6.32280679	6.06279259	6.33256011	5.989658107	5.804720659	6.100099737	6.490235219	5.899383088	6.449277877	6.137102577	5.938165991	6.170078329	5.879836886	5.850201631	6.015265077	5.666247983	5.626883654	5.449196286	6.339534288	7.376500781	6.120809081	5.73422834	5.759343678	5.88853549
