EnsemblID	Genename	Gene	UpperGroup	MiddleGroup	FinalGroup	Subtype	Cluster	U6475-ULDM4	I6475-ILDM4	I17938-ILDM4	I6475-I17938	I6475-U6475	ILDM-ULDM	KaryotypeBand	ChromosomeScaffoldName	GeneStart	GeneEnd	GeneGCcontent	TranscriptCount	GeneType	GeneDescription	GeneSymbol	GeneStrand	baseMean	U6475.ULDM4log2FoldChange	U6475.ULDM4lfcSE	U6475.ULDM4stat	U6475.ULDM4pvalue	U6475.ULDM4padj	I6475.ILDM4log2FoldChange	I6475.ILDM4lfcSE	I6475.ILDM4stat	I6475.ILDM4pvalue	I6475.ILDM4padj	I17938.ILDM4log2FoldChange	I17938.ILDM4lfcSE	I17938.ILDM4stat	I17938.ILDM4pvalue	I17938.ILDM4padj	I6475.I17938log2FoldChange	I6475.I17938lfcSE	I6475.I17938stat	I6475.I17938pvalue	I6475.I17938padj	I6475.U6475log2FoldChange	I6475.U6475lfcSE	I6475.U6475stat	I6475.U6475pvalue	I6475.U6475padj	ILDM4.ULDM4log2FoldChange	ILDM4.ULDM4lfcSE	ILDM4.ULDM4stat	ILDM4.ULDM4pvalue	ILDM4.ULDM4padj	GeTMM.ULDMA_1	GeTMM.ULDMA_2	GeTMM.ULDMA_3	GeTMM.ULDMB_1	GeTMM.ULDMB_2	GeTMM.ULDMB_3	GeTMM.U6475A_1	GeTMM.U6475A_2	GeTMM.U6475A_3	GeTMM.U6475B_1	GeTMM.U6475B_2	GeTMM.U6475B_3	GeTMM.ILDMA_1	GeTMM.ILDMA_2	GeTMM.ILDMA_3	GeTMM.ILDMB_1	GeTMM.ILDMB_2	GeTMM.ILDMB_3	GeTMM.I6475A_1	GeTMM.I6475A_2	GeTMM.I6475A_3	GeTMM.I6475B_1	GeTMM.I6475B_2	GeTMM.I6475B_3	GeTMM.I1793A_1	GeTMM.I1793A_2	GeTMM.I1793A_3	GeTMM.I1793B_1	GeTMM.I1793B_2	GeTMM.I1793B_3	rlog.ULDMA_1	rlog.ULDMA_2	rlog.ULDMA_3	rlog.ULDMB_1	rlog.ULDMB_2	rlog.ULDMB_3	rlog.U6475A_1	rlog.U6475A_2	rlog.U6475A_3	rlog.U6475B_1	rlog.U6475B_2	rlog.U6475B_3	rlog.ILDMA_1	rlog.ILDMA_2	rlog.ILDMA_3	rlog.ILDMB_1	rlog.ILDMB_2	rlog.ILDMB_3	rlog.I6475A_1	rlog.I6475A_2	rlog.I6475A_3	rlog.I6475B_1	rlog.I6475B_2	rlog.I6475B_3	rlog.I1793A_1	rlog.I1793A_2	rlog.I1793A_3	rlog.I1793B_1	rlog.I1793B_2	rlog.I1793B_3
ENSG00000080293	Secretin receptor;SCTR	SCTR	Environmental response/Signaling	Hormone secretion	Hormone secretion	Receptor	5	0	1	0	0	-1	-1	q14.2	2	120197419	120282070	46.76	3	protein_coding	secretin receptor [Source:HGNC Symbol;Acc:10608]	SCTR	-1	13.79912331	0.760750773	0.384304849	1.979550282	0.047754084	0.133321076	1.193617429	0.485613597	2.457957182	0.013972983	0.049424805	0.923796181	0.492998887	1.873830155	0.060953839	NA	0.269821248	0.450949178	0.598340703	0.549612623	NA	-1.793254989	0.412416852	-4.348161283	1.37E-05	3.04E-05	-2.226121645	0.462045162	-4.817974142	1.45E-06	3.90E-06	0.079339512	0.05269636	0.069867122	0.040009816	0.057580231	0.041887235	0.109116691	0.107948786	0.107200289	0.089237373	0.053780918	0.095846057	0.010046796	0.023402963	0.013877525	0.002540289	0.014471296	0.010435379	0.071628215	0.035429371	0.030845527	0.01268351	0.006898504	0.022180031	0.047933575	0.066787333	0.015451623	0.002771397	0.002131886	0.020675332	3.899637893	3.70985606	3.837422533	3.590868277	3.750788563	3.606550017	4.102636591	4.096135472	4.076800046	3.976670395	3.722402387	4.011387017	3.239141498	3.413955076	3.298694227	3.114726816	3.295027088	3.239753488	3.864641367	3.549844354	3.503872617	3.278389617	3.195491593	3.406552701	3.686125483	3.846371646	3.324630008	3.124266976	3.104116783	3.383573106
ENSG00000096395	Promotilin;MLN	MLN	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1	0	1	0	0	1	1	p21.31	6	33762450	33771788	54.77	3	protein_coding	motilin [Source:HGNC Symbol;Acc:7141]	MLN	-1	36812.79188	0.38525568	0.886416356	0.434621583	0.663837126	0.785622355	2.040103173	0.858569671	2.376164966	0.01749364	0.058460481	1.33197606	0.858570771	1.551387615	0.120808821	0.27147082	0.708127113	0.858566932	0.824777995	0.409497642	0.728386982	12.57988749	0.872873366	14.41204185	4.35E-47	1.34E-45	10.92503999	0.872361263	12.52352719	5.55E-36	1.11E-34	2.061596042	0.262712149	0.30398415	0	0	0.175237253	0.216359564	0.97848599	1.763458005	0.036767233	0.452668607	0	942.0044261	1050.875269	446.6202211	677.3811656	1012.545835	460.5349045	1507.193025	1112.711655	1547.353695	5374.170807	1607.533487	5625.815902	1118.927849	493.1458161	1282.590057	1345.928704	2856.382085	3217.762775	10.325277	10.19838391	10.20168859	10.17896485	10.17957873	10.19344658	10.19831296	10.25557519	10.31289013	10.18616867	10.21866758	10.18718121	14.41677931	14.50036904	13.61655494	14.01138517	14.45775132	13.62980454	14.9260901	14.57736848	14.94838429	16.35158832	14.95493334	16.43585628	14.62621434	13.77185889	14.74527685	14.77875686	15.63176936	15.78026464
ENSG00000101188	Neurotensin receptor type 1;NTSR1	NTSR1	Environmental response/Signaling	Hormone secretion	Hormone secretion	Receptor	3	1	0	0	0	0	0	q13.33	20	61340189	61394123	55.17	2	protein_coding	neurotensin receptor 1 (high affinity) [Source:HGNC Symbol;Acc:8039]	NTSR1	1	45.90169218	1.204040558	0.384354924	3.132626858	0.001732495	0.013148999	0.263621243	0.373460411	0.705888054	0.480257757	0.633171474	0.529411162	0.371955976	1.423316727	0.15464436	0.319777289	-0.265789919	0.37154529	-0.715363447	0.474384493	NA	-0.016332884	0.374920928	-0.043563543	0.965252312	0.971259551	0.924086431	0.38294826	2.413084294	0.015818161	0.02485018	0.116223204	0.057895552	0.267564949	0.072457109	0.070290313	0.106199916	0.374632792	0.390624875	0.417516398	0.133693388	0.054263678	0.190019615	0.201050107	0.152172909	0.08167889	0.326936582	0.257413683	0.26615102	0.199861039	0.222428264	0.250865478	0.383209906	0.200305631	0.274144324	0.15583906	0.230612753	0.291019359	0.326231966	0.354679664	0.447093357	5.017141321	4.718362858	5.538162233	4.809135006	4.801974604	4.982376167	5.811252298	5.841789967	5.878227101	5.117938314	4.716871549	5.325261795	5.372076611	5.180314672	4.870467843	5.677158939	5.516846008	5.539942754	5.365944427	5.427087763	5.51522738	5.816237096	5.342444045	5.586348563	5.226311913	5.486856459	5.621764651	5.69514086	5.766296119	5.956361212
ENSG00000101200	Vasopressin-neurophysin 2-copeptin;AVP	AVP	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	5	0	1	0	0	-1	-1	p13	20	3063202	3065370	67.96	1	protein_coding	arginine vasopressin [Source:HGNC Symbol;Acc:894]	AVP	-1	44.85055787	0.683680956	0.334264953	2.045326469	0.040822683	0.119528255	1.68457538	0.413817605	4.070816126	4.68E-05	0.000646916	0.529396798	0.437311175	1.210572307	0.226059363	0.406860936	1.155178582	0.400476417	2.884510879	0.003920222	NA	-2.369357224	0.354647337	-6.680882602	2.38E-11	8.99E-11	-3.370251648	0.39739184	-8.480928167	2.23E-17	1.55E-16	11.45694749	12.64833636	11.45248723	5.765568138	4.369649637	4.275578907	22.62391715	24.22497178	18.43982633	6.332304008	6.896610197	6.890748002	1.764484179	1.696265498	2.843472236	0.099142712	0.188262509	0	3.106127568	4.493911057	3.720969365	0.74252039	2.019267354	1.73129001	2.538885137	3.127901127	3.31676311	0.108162416	0.332813968	0.089657714	5.715463688	5.824442098	5.722863023	5.180344212	4.989050945	4.964189856	6.368309635	6.431740569	6.154155314	5.257625387	5.328048296	5.317167836	4.467051783	4.439680776	4.719125167	3.818003524	3.863211385	3.768087482	4.780399811	5.011129506	4.889614087	4.134992084	4.519025583	4.460905119	4.675929326	4.809351237	4.818778236	3.837674164	3.930499821	3.809088511
ENSG00000101405	Oxytocin-neurophysin 1;OXT	OXT	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	5	0	1	1	0	-1	-1	p13	20	3052266	3053163	71.94	1	protein_coding	oxytocin/neurophysin I prepropeptide [Source:HGNC Symbol;Acc:8528]	OXT	1	70.81011235	0.466884362	0.25455695	1.834105737	0.0666383	0.167840713	1.462129071	0.282083655	5.183317233	2.18E-07	9.74E-06	1.000121902	0.285415464	3.504091499	0.000458168	0.006601063	0.462007169	0.26858146	1.720175207	0.085400598	0.411647533	-1.046756646	0.259829328	-4.028631615	5.61E-05	0.000116361	-2.042001355	0.277331538	-7.363033322	1.80E-13	9.26E-13	46.37053467	42.47248001	36.88262033	13.9259658	14.1729301	10.63083233	57.85948993	70.94958692	42.66757218	16.05958326	16.29572088	19.97242639	12.78563313	14.81260867	16.67950235	0.718398252	2.273615712	1.475571894	30.00975811	29.78014847	26.96252523	5.08146888	5.852727249	13.06781748	22.27007903	18.88757668	34.22968027	2.090015866	6.430944299	4.547682882	6.593216668	6.538523856	6.398169931	5.634332933	5.653311818	5.449061072	6.834856247	7.025426616	6.535170963	5.747011809	5.76182581	5.908121798	5.59551124	5.677436886	5.774667936	4.475909688	4.712249218	4.604448704	6.25009319	6.234338298	6.158287349	5.042488594	5.105427959	5.612186432	6.02634104	5.907009702	6.3606856	4.700590565	5.156193156	4.988511701
ENSG00000104826	Lutropin subunit beta;LHB	LHB	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	5	0	1	1	0	-1	-1	q13.33	19	49519237	49520338	64.16	1	protein_coding	luteinizing hormone beta polypeptide [Source:HGNC Symbol;Acc:6584]	LHB	-1	29.38665887	0.58828351	0.391499695	1.502641044	0.132931633	0.269670838	1.208468297	0.421781931	2.865149516	0.004168124	0.019845914	1.071733222	0.42309885	2.533056334	0.011307278	0.058186308	0.136735075	0.406223782	0.336600369	0.736418178	NA	-1.069227695	0.397641365	-2.688924719	0.007168258	0.011279713	-1.689412481	0.416003173	-4.061056725	4.89E-05	0.000110346	8.735592304	12.34627901	4.508247694	11.34801932	6.634684773	7.672831487	13.09684966	23.95544436	28.97419829	6.231745641	5.311636063	3.487536732	2.89410631	3.595476624	1.066025629	2.341639311	2.59382003	3.206445397	5.502242854	4.082350865	6.246735722	5.602255698	4.239362024	9.796831296	7.101190671	2.052152917	7.41839134	2.128895471	7.041869419	6.352842978	4.841753912	5.09230092	4.476965802	5.027524646	4.69302588	4.769997881	5.14348848	5.612436487	5.754740183	4.660223515	4.577297492	4.381994157	4.299400937	4.380322843	4.018584473	4.201633633	4.243061434	4.326911921	4.599640971	4.441854756	4.665421253	4.59731735	4.449677654	4.950426693	4.757562198	4.209553448	4.766684941	4.182224379	4.732169413	4.677912458
ENSG00000122585	Pro-neuropeptide Y;NPY	NPY	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1	0	1	0	0	1	1	p15.3	7	24323782	24331484	43.49	3	protein_coding	neuropeptide Y [Source:HGNC Symbol;Acc:7955]	NPY	1	55.55535797	-0.058578249	1.235720991	-0.047404106	0.962191156	0.981623076	1.109601539	0.383987048	2.889684804	0.003856283	0.018731735	0.716409653	0.385144838	1.860104516	0.06287074	0.178060152	0.393191886	0.381956443	1.029415509	0.303284464	0.657107052	8.653275358	0.914331183	9.464049264	2.96E-21	2.34E-20	7.48509557	0.915669593	8.174450287	2.97E-16	1.89E-15	0.029063345	0.028955292	0	0	0	0	0	0	0.043632442	0	0	0	3.698705185	2.939274301	1.830082166	1.367906871	1.590320844	0.860095781	3.717131047	3.244587717	2.804259656	6.969261867	1.857369455	7.373350184	3.085339497	1.223263942	3.735718129	2.010110676	4.427953104	5.049138836	3.793552663	3.798223818	3.741504511	3.759336138	3.767582898	3.766253806	3.781466108	3.758146037	3.888395009	3.812626896	3.80315608	3.857218835	5.947975404	5.711938288	5.330729545	5.085921711	5.21180518	4.779533301	5.941114853	5.812373917	5.69260388	6.517417872	5.322715089	6.599316034	5.799446194	5.064365637	5.943897762	5.402544116	6.100530102	6.232077887
ENSG00000133636	Neurotensin/neuromedin N;NTS	NTS	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	5	0	1	0	0	0	-1	q21.31	12	86268073	86276770	29.39	3	protein_coding	neurotensin [Source:HGNC Symbol;Acc:8038]	NTS	1	14.27440017	-0.382281453	0.533136767	-0.717041999	0.473348183	0.633425182	1.533337557	0.568293226	2.698145053	0.006972705	0.029384016	0.723940824	0.584008406	1.239606857	0.215120843	NA	0.809396733	0.553806395	1.461515685	0.143873974	NA	-0.023526847	0.540301782	-0.043543901	0.96526797	0.971259551	-1.939145857	0.561637471	-3.452664674	0.000555079	0.001091479	0.257386695	0.384644656	0.326386293	0.958497531	1.494376254	1.03483259	0.033186315	0.700397077	0.425052621	0.197383988	0.635575164	1.030997867	0.097778958	0.390455793	0	0.173060911	0.328626083	0.025390196	0.03872839	0.574685196	0.300199532	0.771502417	0.503539997	0.917421484	0.133287552	0.303332329	0.225570952	0.458527567	0.414965221	0.156504148	3.479983182	3.62868829	3.561337837	4.074148621	4.36506213	4.116123166	3.180927105	3.908984828	3.66647413	3.42338092	3.85630638	4.114496057	3.276114607	3.631751448	3.123123598	3.374152929	3.566014051	3.15234766	3.198733874	3.806207175	3.54362723	3.953242355	3.73304337	4.068499823	3.342409612	3.565648044	3.460143399	3.701008711	3.663030128	3.360888504
ENSG00000135744	Angiotensinogen;AGT	AGT	Environmental response/Signaling	Hormone secretion	Hormone secretion	Secreted	1	-1	0	0	0	1	1	q42.2	1	230838269	230850043	53.69	1	protein_coding	angiotensinogen (serpin peptidase inhibitor, clade A, member 8) [Source:HGNC Symbol;Acc:333]	AGT	-1	2221.01243	-1.069410204	0.469419614	-2.278154069	0.0227174	0.079490686	0.463110016	0.178960852	2.587772755	0.009659868	0.037500005	0.808309852	0.178911534	4.517930362	6.24E-06	0.000359883	-0.345199837	0.178854678	-1.930057632	0.053599697	0.345846818	10.26169185	0.413303379	24.82847314	4.42E-136	1.39E-133	8.729171632	0.285589025	30.56550104	3.52E-205	3.18E-202	0.095063672	0.113652288	0.080365406	0.221258268	0.183978551	0.208476523	0.024514188	0.107785806	0.085630752	0	0.082850997	0.108797324	62.80200042	48.04651661	72.97979773	59.26170389	64.20756422	61.14235254	69.34586091	59.58005701	69.34805041	120.3620822	71.5396842	123.4581252	96.63587507	124.7410954	76.84216085	82.28583271	123.9905859	124.591375	6.879067458	6.898946682	6.872878286	6.994724461	6.972058837	6.987642141	6.848816678	6.907409418	6.914976539	6.847093022	6.912155834	6.965194078	10.84430729	10.52630439	10.98751429	10.72758277	10.83141853	10.77882124	10.94619312	10.7684901	10.93995	11.52730347	10.93856089	11.58513873	11.335215	11.63438746	11.05434531	11.10980066	11.57073866	11.58789534
ENSG00000137819	Membrane progestin receptor gamma;PAQR5	PAQR5	Environmental response/Signaling	Hormone secretion	Hormone secretion	Receptor	6	-1	0	0	0	0	-1	q23	15	69591286	69700119	46.86	6	protein_coding	progestin and adipoQ receptor family member V [Source:HGNC Symbol;Acc:29645]	PAQR5	1	9.642922588	-1.650969325	0.517598502	-3.189671763	0.001424345	0.011473141	0.091697397	0.506963041	0.180875901	0.856464985	0.91466961	-0.864822125	0.539828034	-1.602032629	0.109148394	NA	0.956519521	0.54209274	1.764494248	0.077648803	NA	0.587034266	0.537992481	1.091157007	0.275203802	0.326207561	-1.155632456	0.485389483	-2.380835385	0.017273429	0.026946339	0.074053128	0.043037056	0.047822047	0.038301503	0.024881327	0.047617279	0.015913477	0.004664637	0.015440979	0.012619923	0.026891518	0.019618387	0.021489827	0.010401726	0.010794056	0.03161373	0.028139739	0.034496084	0.015475841	0.03215014	0.013086496	0.029596022	0.048291426	0.002156477	0.002663081	0	0.0030046	0.036645467	0.018240183	0.01429462	3.618353801	3.395549415	3.432031614	3.344800215	3.195258775	3.430905739	3.078701826	2.900268309	3.068278668	3.030455488	3.222845509	3.12881404	3.157768725	2.991848381	3.001005795	3.26649041	3.232071159	3.304460761	3.074396568	3.283526569	3.035005173	3.25134695	3.433641754	2.855785239	2.871488483	2.833411158	2.878651658	3.330946518	3.108004639	3.052948522
