EnsemblID	U6475-ULDM	I6475-ILDM	I1793-ILDM	I6475-I1793	I6475-U6475	ILDM-ULDM	ULDMA_1	ULDMA_2	ULDMA_3	ULDMB_1	ULDMB_2	ULDMB_3	U6475A_1	U6475A_2	U6475A_3	U6475B_1	U6475B_2	U6475B_3	ILDMA_1	ILDMA_2	ILDMA_3	ILDMB_1	ILDMB_2	ILDMB_3	I6475A_1	I6475A_2	I6475A_3	I6475B_1	I6475B_2	I6475B_3	I1793A_1	I1793A_2	I1793A_3	I1793B_1	I1793B_2	I1793B_3	EnsembleIDversion	KaryotypeBand	ChromosomeScaffoldName	GeneStart	GeneEnd	GeneGCcontent	TranscriptCount	GeneType	GeneDescription	GeneStrand	GeneSymbol
ENSG00000115977	0	-1	0	-1	-1	0	7.788013949	7.9402342	8.440069004	7.829093017	8.081408155	8.199030769	8.343086026	7.951164599	8.068226277	8.73794479	8.540636544	9.015863863	7.986261699	8.032284006	8.600993683	8.287104976	8.335771958	8.603044716	7.321156622	7.327180519	7.477784976	7.650065288	7.932998252	7.66868442	7.919010445	8.830043323	7.61911897	8.333688992	8.023669888	7.889725492	ENSG00000115977.14	p13.3	2	69688532	69901481	41.98	10	protein_coding	AP2 associated kinase 1 [Source:HGNC Symbol;Acc:19679]	-1	AAK1
ENSG00000160838	1	-1	0	-1	-1	0	5.779202642	5.462318028	6.154261011	5.505399459	5.53568624	5.599625973	6.635337409	5.839035348	5.763615769	6.36975786	6.405003136	7.114118568	6.328426207	5.61008856	6.457195182	5.987597096	5.597345074	6.318157944	5.631956264	5.554627324	5.558353798	5.45404999	5.17158978	5.351230668	5.728879468	7.083351545	5.81047594	5.671296158	5.504036631	5.937706624	ENSG00000160838.9	q23.1	1	156890442	156902886	54.62	4	protein_coding	leucine rich repeat containing 71 [Source:HGNC Symbol;Acc:26556]	1	LRRC71
ENSG00000228253	1	0	0	-1	-1	0	6.976070219	7.274121246	7.279217062	6.5216227	6.392948425	6.89957238	7.549028467	6.9551691	7.052207128	7.980833312	8.18928258	8.39161627	7.089522546	6.828427982	7.164665931	7.197774545	7.061955523	7.36461642	6.397033733	7.106672064	6.511249499	6.220497353	7.009220674	6.521350118	7.352136217	7.703909953	7.232068455	7.714271883	7.18198251	7.525878246	ENSG00000228253.1		MT	8366	8572	39.61	1	protein_coding	mitochondrially encoded ATP synthase 8 [Source:HGNC Symbol;Acc:7415]	1	MT-ATP8
ENSG00000263503	1	0	0	-1	-1	1	6.201943201	6.076100322	6.35571859	6.256272323	6.330301427	6.481223953	7.639847059	7.947317522	7.783138524	7.511334332	7.342663778	8.328138766	7.60416792	7.100718646	7.651625294	7.359490131	7.075839238	7.754063504	7.001432285	7.571478662	7.709807477	6.42885778	6.573157868	6.769578462	8.276905805	9.181957531	8.244026141	7.009781555	6.725594928	7.299781661	ENSG00000263503.1	q21.31	17	43678235	43679706	60.87	1	pseudogene		-1	RP11-707O23.5
ENSG00000270066	1	0	0	-1	-1	0	5.892562382	5.687580708	6.219998964	5.445953434	5.982882121	5.605253385	6.89451177	5.955009008	6.215636674	7.441802506	6.179172776	7.364157712	5.966878272	5.631646427	6.370064976	5.72443048	6.197407985	5.778945446	5.472269425	5.986121578	5.404384009	5.721374278	5.462930668	5.710518396	6.127211957	6.760264595	6.186897519	6.346999286	6.186482494	6.695622105	ENSG00000270066.2	p13.3	1	109642815	109643241	65.81	2	lincRNA	small Cajal body-specific RNA 2 [Source:HGNC Symbol;Acc:32558]	1	SCARNA2
ENSG00000016602	-1	-1	-1	0	-1	-1	4.055585481	4.028117162	4.210410197	4.953118056	5.33861843	4.995725148	3.988677013	3.514126057	3.613192156	4.223918502	3.960682384	3.954673969	3.288919787	3.234745103	3.692028442	3.550603528	4.140271719	3.831810539	3.342707422	3.32291926	3.149463339	3.284469468	3.753065757	3.149494381	3.108346638	3.13727416	3.267919064	3.629673859	3.328792179	3.125620017	ENSG00000016602.8	p22.3	1	87012761	87046437	37.99	3	protein_coding	chloride channel accessory 4 [Source:HGNC Symbol;Acc:2018]	1	CLCA4
ENSG00000076641	0	-1	-1	0	-1	-1	10.27228248	10.36203912	10.34267005	10.2961613	10.29050558	10.32864435	10.0764763	9.7864953	9.76003211	10.54305229	10.44547482	10.4783452	9.397950823	9.611261193	9.633791242	9.170771879	9.382336603	9.736441205	8.678293233	8.878654186	8.729195014	8.511771485	9.106907575	8.335583207	8.633787467	8.94284687	8.789051899	9.173134156	8.708414365	8.541653731	ENSG00000076641.4	q21.13	8	81880045	82024303	40.56	4	protein_coding	phosphoprotein associated with glycosphingolipid microdomains 1 [Source:HGNC Symbol;Acc:30043]	-1	PAG1
ENSG00000083857	0	-1	-1	0	-1	0	12.14570624	12.25968235	12.40429814	12.62592051	12.71666401	12.71795412	11.91166564	11.86603129	11.86090938	12.61317569	12.53744204	12.72626883	11.72532388	11.90828918	12.15054501	12.13925569	12.49645446	12.33858021	10.96857886	11.19057728	10.95075299	11.74287165	12.08467425	11.24307426	10.99630437	11.26474635	10.95655765	12.07373904	11.59336181	11.57218195	ENSG00000083857.9	q35.2	4	187508937	187647876	41.53	11	protein_coding	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:3595]	-1	FAT1
ENSG00000090339	0	-1	-1	0	-1	-1	5.55875047	5.47020392	6.11179975	5.672363858	5.718992014	5.768467363	5.575994608	5.096706779	5.251811026	5.555569752	5.3819826	5.425486941	4.77468843	4.496554843	5.073790931	5.159171918	5.493883363	5.227423388	4.578445892	4.60595398	4.339178029	4.691294845	4.903169832	4.613920146	4.489985801	4.46344799	4.257325518	4.914473931	4.583528351	4.783356518	ENSG00000090339.4	p13.2	19	10381511	10397291	52.08	5	protein_coding	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:5344]	1	ICAM1
ENSG00000112414	0	-1	-1	0	-1	-1	10.93189603	11.03019342	10.92292648	11.42757129	11.53313924	11.54746991	10.77225566	10.67267694	10.64460518	11.23468729	11.35787604	11.21041769	9.78826758	10.19530329	10.18919462	10.19312061	10.39180475	10.57127124	9.267493581	9.719782882	9.377417172	9.593889005	10.12270618	9.138395195	9.305071934	9.144848832	9.485677287	10.2030543	9.577836271	9.528929543	ENSG00000112414.10	q24.1	6	142622991	142767403	35.7	14	protein_coding	G protein-coupled receptor 126 [Source:HGNC Symbol;Acc:13841]	1	GPR126
ENSG00000128655	0	-1	-1	0	-1	0	3.8955936	3.672429746	4.027097525	3.959817653	4.372607796	4.067571152	3.614791629	3.535807285	3.5779034	4.114617935	3.983199553	4.456280963	3.520081862	3.635349736	3.786652349	3.835429739	3.860140871	4.048283622	3.332691075	3.563917424	3.324412859	3.584722307	3.60693612	3.444807094	3.257350971	3.217746414	3.204227249	3.889007666	3.646101032	3.768729799	ENSG00000128655.12	q31.2	2	178487980	178973066	39.14	14	protein_coding	phosphodiesterase 11A [Source:HGNC Symbol;Acc:8773]	-1	PDE11A
ENSG00000137628	0	-1	-1	0	-1	0	8.445064708	8.594535182	8.479100954	8.763290339	8.9860461	8.900163142	8.282671378	8.05006052	7.957575605	8.564812765	8.515436752	8.461470899	7.909235303	8.094575303	8.13528147	7.805246263	8.78107945	8.049353281	7.147341242	7.455726548	7.432019456	7.51308237	7.805155752	7.432208575	7.276275181	7.148603901	7.219381084	7.778631596	7.503115366	7.354892225	ENSG00000137628.12	q32.3	4	169137444	169239958	36.27	6	protein_coding	DEAD (Asp-Glu-Ala-Asp) box polypeptide 60 [Source:HGNC Symbol;Acc:25942]	-1	DDX60
ENSG00000140279	0	-1	-1	0	-1	-1	12.99748542	13.38648039	13.4227472	14.29047489	14.51808811	14.76802468	12.7374681	12.8020165	12.60664214	14.08729205	14.19933581	14.39357485	11.58687176	11.44060203	11.78508619	14.03117777	14.14836159	14.44522126	10.71130008	10.82642938	10.80890617	12.98753384	13.69843757	12.10035112	10.92350176	11.57552273	10.9012182	13.88404831	12.91498937	12.81898121	ENSG00000140279.8	q21.1	15	45384848	45406542	54.85	5	protein_coding	dual oxidase 2 [Source:HGNC Symbol;Acc:13273]	-1	DUOX2
