EnsemblID	U6475-ULDM4	I6475-ILDM4	I17938-ILDM4	I6475-I17938	ULDMA_1	ULDMA_2	ULDMA_3	ULDMB_1	ULDMB_2	ULDMB_3	U6475A_1	U6475A_2	U6475A_3	U6475B_1	U6475B_2	U6475B_3	ILDMA_1	ILDMA_2	ILDMA_3	ILDMB_1	ILDMB_2	ILDMB_3	I6475A_1	I6475A_2	I6475A_3	I6475B_1	I6475B_2	I6475B_3	I1793A_1	I1793A_2	I1793A_3	I1793B_1	I1793B_2	I1793B_3	EnsembleIDversion	KaryotypeBand	ChromosomeScaffoldName	GeneStart	GeneEnd	GeneGCcontent	TranscriptCount	GeneType	GeneDescription	GeneStrand	GeneSymbol
ENSG00000016602	-1	-1	-1	0	4.055585481	4.028117162	4.210410197	4.953118056	5.33861843	4.995725148	3.988677013	3.514126057	3.613192156	4.223918502	3.960682384	3.954673969	3.288919787	3.234745103	3.692028442	3.550603528	4.140271719	3.831810539	3.342707422	3.32291926	3.149463339	3.284469468	3.753065757	3.149494381	3.108346638	3.13727416	3.267919064	3.629673859	3.328792179	3.125620017	ENSG00000016602.8	p22.3	1	87012761	87046437	37.99	3	protein_coding	chloride channel accessory 4 [Source:HGNC Symbol;Acc:2018]	1	CLCA4
ENSG00000099860	-1	-1	-1	0	6.262043824	6.191601455	6.475648568	6.934947365	8.055212619	7.690180265	6.218170559	6.415568728	6.634546962	6.060808327	6.175054476	6.77855618	6.758884006	7.345119743	6.915689877	6.911295279	6.936256699	6.806456242	6.05644462	6.203392663	5.987393736	6.328126295	6.933915155	6.596252035	5.919603047	5.808090357	6.102869486	7.035050047	6.375056183	6.390293363	ENSG00000099860.4	p13.3	19	2476120	2478257	60.24	7	protein_coding	growth arrest and DNA-damage-inducible, beta [Source:HGNC Symbol;Acc:4096]	1	GADD45B
ENSG00000165186	-1	-1	0	0	3.894915137	3.662462116	4.192893515	3.687894584	3.696446685	3.769820289	3.710820779	3.686659543	3.821635787	3.742985459	3.81780565	3.788805741	5.307530962	5.611356002	5.543979699	6.56649223	6.625702763	6.432597824	4.702189793	4.914350729	4.99953417	5.537326079	6.302267794	5.052787179	4.718931072	5.106484003	4.922003175	6.496812258	5.859086531	5.448090474	ENSG00000165186.9	p22.11	X	23352133	23422489	41.56	2	protein_coding	patched domain containing 1 [Source:HGNC Symbol;Acc:26392]	1	PTCHD1
ENSG00000166396	-1	0	-1	0	4.679748393	4.360152138	4.999790982	3.900462696	3.738478754	4.350684244	4.155379846	3.896537214	3.628620302	4.195584503	3.699582561	3.358808388	3.547568462	3.187828468	3.750510479	3.175304928	3.359538233	3.348718613	3.407491481	3.165064333	3.048172665	3.231270833	3.299788258	3.048200816	3.006352005	3.031500438	3.160487681	3.289932006	2.970045832	3.120667612	ENSG00000166396.8	q21.33	18	61420169	61472604	37.32	7	protein_coding	serpin peptidase inhibitor, clade B (ovalbumin), member 7 [Source:HGNC Symbol;Acc:13902]	1	SERPINB7
ENSG00000087916	-1	0	-1	0	7.348581476	7.181632328	7.95624591	8.10808658	8.670742757	8.766667995	7.025552783	6.839697433	7.041064836	7.765762536	7.532613876	7.751785804	6.934033377	6.64080536	6.915898797	8.186171561	8.319006976	8.287837717	6.275367926	6.506277818	6.418724835	7.634145189	8.107661562	6.797610536	6.141305102	6.169625219	6.088333051	7.962619362	7.386991508	7.304415867	ENSG00000087916.7	q23	X	115567790	115592625	33.28	2	protein_coding	solute carrier family 6 (amino acid transporter), member 14 [Source:HGNC Symbol;Acc:11047]	1	SLC6A14
ENSG00000125740	-1	0	-1	0	4.66240477	4.566780533	4.620286532	6.048551954	8.6868725	7.216292173	4.596323254	4.710556419	4.816426544	4.613740212	4.738107321	4.696755224	5.096271852	6.038451444	5.109267871	5.033050608	5.008077805	5.115497421	4.376191581	4.725122462	4.41388728	4.579532725	5.470137867	4.670286708	4.577838831	4.045205681	4.250588391	5.602346448	4.732463568	4.553992606	ENSG00000125740.9	q13.32	19	45971253	45978437	57.58	12	protein_coding	FBJ murine osteosarcoma viral oncogene homolog B [Source:HGNC Symbol;Acc:3797]	1	FOSB
ENSG00000007306	-1	0	0	0	9.322674805	9.90845886	9.503500817	11.35272319	11.5180326	11.46646291	8.80640677	9.149008161	8.863511975	10.38883173	10.8702834	10.41072678	7.206461837	7.231460138	7.25138551	9.381782391	9.451277812	9.829662252	6.798401421	7.217481425	7.060302218	8.952237079	9.776940251	7.759857966	6.669643756	6.965728576	7.063015245	9.436235277	8.465786753	8.468572946	ENSG00000007306.10	q13.2	19	42177235	42210895	47.87	5	protein_coding	carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:1819]	-1	CEACAM7
ENSG00000139329	-1	0	0	0	3.940175115	3.674707857	4.101195201	3.467885628	3.876471065	3.259848043	3.427515357	3.518850283	3.407079005	3.339151354	3.322949914	3.262046833	3.167243494	3.152155003	3.164358441	3.384757325	3.486780281	3.542625071	2.915506911	3.127463418	3.324200041	3.053978042	3.385641031	3.078517183	2.908670297	3.06542738	3.091919258	3.373784699	3.182749528	3.044876232	ENSG00000139329.4	q21.33	12	91496406	91505608	35.52	3	protein_coding	lumican [Source:HGNC Symbol;Acc:6724]	-1	LUM
ENSG00000162772	-1	0	0	0	8.163900214	8.377662182	8.221850627	8.559727478	9.698806056	9.234395886	8.115577125	7.98196227	8.033963685	8.084119122	7.949176107	7.918307353	6.965644534	7.095205325	6.646439149	7.479547418	7.639378776	7.529108193	6.91076869	6.843722191	6.688784663	7.618463779	7.659072403	7.275622282	6.904510742	7.036712782	6.974001031	7.590628301	7.384308929	7.171306132	ENSG00000162772.12	q32.3	1	212738676	212794119	43.16	9	protein_coding	activating transcription factor 3 [Source:HGNC Symbol;Acc:785]	1	ATF3
ENSG00000163630	-1	0	0	0	3.859939541	3.955927806	4.12929744	4.625258748	4.739476314	4.643048098	3.826002888	3.871781476	3.547962751	3.689873868	3.849958124	3.78166057	3.417822499	3.491483524	3.203272759	3.726136883	3.661790071	3.745345195	3.348239968	3.332247302	3.323086947	3.754740262	3.784823941	3.365972449	3.266007339	3.164448334	3.149180916	3.608419888	3.490808913	3.518536933	ENSG00000163630.6	p14.2	3	63213991	63602597	38.62	15	protein_coding	synaptoporin [Source:HGNC Symbol;Acc:16507]	1	SYNPR
